OID_,Lion,GMT_Date,GMT_Time,Latitude,Longitude,Date_Time,LongitudeU,LatitudeUT
,F62b,1/28/2012 0:00:00,8:45,33.576661100000003,-117.541090100000010,1/28/2012 0:00:00,449784.697965000000000,3715349.751819999900000
,F62b,1/28/2012 0:00:00,8:50,33.577676599999997,-117.540701299999990,1/28/2012 0:00:00,449821.368219000000000,3715462.154279999900000
,F62b,1/28/2012 0:00:00,8:55,33.578975900000003,-117.542105000000010,1/28/2012 0:00:00,449691.853173999990000,3715606.891570000000000
,F62b,1/28/2012 0:00:00,9:00,33.580609000000003,-117.542531200000000,1/28/2012 0:00:00,449653.249037000000000,3715788.164350000200000
,F62b,1/28/2012 0:00:00,9:05,33.580827200000002,-117.542645300000000,1/28/2012 0:00:00,449642.787198000010000,3715812.412169999900000
,F62b,1/28/2012 0:00:00,9:10,33.581440999999998,-117.542692200000000,1/28/2012 0:00:00,449638.791394000000000,3715880.488470000200000
,F62b,1/28/2012 0:00:00,9:15,33.581738399999999,-117.542269500000000,1/28/2012 0:00:00,449678.190544000010000,3715913.256490000100000
,F62b,1/28/2012 0:00:00,9:20,33.581968500000002,-117.542179800000000,1/28/2012 0:00:00,449686.648204999980000,3715938.724669999900000
,F62b,1/28/2012 0:00:00,9:25,33.581968500000002,-117.542179800000000,1/28/2012 0:00:00,449686.648204999980000,3715938.724669999900000
,F62b,1/28/2012 0:00:00,9:30,33.581964599999999,-117.542180200000000,1/28/2012 0:00:00,449686.608821999980000,3715938.292460000100000
,F62b,1/28/2012 0:00:00,9:35,33.581995800000001,-117.542191000000000,1/28/2012 0:00:00,449685.624696000010000,3715941.756920000100000
,F62b,1/28/2012 0:00:00,9:40,33.582091900000002,-117.542188900000000,1/28/2012 0:00:00,449685.875347000020000,3715952.410749999800000
,F62b,1/28/2012 0:00:00,9:45,33.581960199999997,-117.542198500000000,1/28/2012 0:00:00,449684.908040000010000,3715937.813509999800000
,F62b,1/28/2012 0:00:00,9:50,33.581977100000003,-117.542190600000000,1/28/2012 0:00:00,449685.650963000020000,3715939.683420000100000
,F62b,1/28/2012 0:00:00,9:55,33.581970400000003,-117.542195199999990,1/28/2012 0:00:00,449685.220198000020000,3715938.942799999800000
,F62b,1/28/2012 0:00:00,10:00,33.581977100000003,-117.542213899999990,1/28/2012 0:00:00,449683.488737999990000,3715939.694730000100000
,F62b,1/28/2012 0:00:00,10:05,33.582006800000002,-117.542144900000000,1/28/2012 0:00:00,449689.909128999980000,3715942.954130000000000
,F62b,1/28/2012 0:00:00,10:10,33.581977100000003,-117.542167300000000,1/28/2012 0:00:00,449687.813188000000000,3715939.672100000100000
,F62b,1/28/2012 0:00:00,10:15,33.581941899999997,-117.542227600000000,1/28/2012 0:00:00,449682.196957000010000,3715935.798680000000000
,F62b,1/28/2012 0:00:00,10:20,33.581947000000000,-117.542261200000000,1/28/2012 0:00:00,449679.081858000020000,3715936.380450000100000
,F62b,1/28/2012 0:00:00,10:25,33.581948699999998,-117.542223000000010,1/28/2012 0:00:00,449682.627780999990000,3715936.550379999900000
,F62b,1/28/2012 0:00:00,10:30,33.581961999999997,-117.542206800000000,1/28/2012 0:00:00,449684.138849999990000,3715938.017109999900000
,F62b,1/28/2012 0:00:00,10:35,33.581764600000000,-117.540778900000010,1/28/2012 0:00:00,449816.532799999990000,3715915.438180000100000
,F62b,1/28/2012 0:00:00,10:40,33.581608299999999,-117.539452299999990,1/28/2012 0:00:00,449939.550456000030000,3715897.466899999900000
,F62b,1/28/2012 0:00:00,10:45,33.581190300000003,-117.538976100000000,1/28/2012 0:00:00,449983.500540999990000,3715850.892190000000000
,F62b,1/28/2012 0:00:00,10:50,33.581609299999997,-117.538647999999990,1/28/2012 0:00:00,450014.189854000000000,3715897.189340000000000
,F62b,1/28/2012 0:00:00,10:55,33.581606499999999,-117.538062200000000,1/28/2012 0:00:00,450068.550319999980000,3715896.596359999900000
,F62b,1/28/2012 0:00:00,11:00,33.581566199999997,-117.537755800000000,1/28/2012 0:00:00,450096.960958999990000,3715891.980550000000000
,F62b,1/28/2012 0:00:00,11:05,33.581798999999997,-117.537220199999990,1/28/2012 0:00:00,450146.798378999990000,3715917.533729999800000
,F62b,1/28/2012 0:00:00,11:10,33.582073500000000,-117.537637500000000,1/28/2012 0:00:00,450108.231111000000000,3715948.169129999800000
,F62b,1/28/2012 0:00:00,11:15,33.581888100000000,-117.538504300000000,1/28/2012 0:00:00,450027.685875999970000,3715928.031229999800000
,F62b,1/28/2012 0:00:00,11:21,33.581009000000002,-117.538670999999990,1/28/2012 0:00:00,450011.709342000020000,3715830.643740000200000
,F62b,1/28/2012 0:00:00,11:25,33.580349300000002,-117.538930100000000,1/28/2012 0:00:00,449987.284223000000000,3715757.626300000100000
,F62b,1/28/2012 0:00:00,11:30,33.579836899999997,-117.538006400000000,1/28/2012 0:00:00,450072.709510000020000,3715700.369700000200000
,F62b,1/28/2012 0:00:00,11:35,33.579256100000002,-117.537170700000000,1/28/2012 0:00:00,450149.929894000000000,3715635.572550000200000
,F62b,1/28/2012 0:00:00,11:40,33.579608399999998,-117.536365100000000,1/28/2012 0:00:00,450224.893621000000000,3715674.245480000000000
,F62b,1/28/2012 0:00:00,11:45,33.580276300000001,-117.535193300000000,1/28/2012 0:00:00,450334.021423999980000,3715747.734670000200000
,F62b,1/28/2012 0:00:00,11:50,33.580732599999997,-117.535690200000000,1/28/2012 0:00:00,450288.170171000010000,3715798.564090000000000
,F62b,1/28/2012 0:00:00,11:55,33.580417500000003,-117.535230700000000,1/28/2012 0:00:00,450330.631552000010000,3715763.407780000000000
,F62b,1/28/2012 0:00:00,12:00,33.579552100000001,-117.535721200000000,1/28/2012 0:00:00,450284.616451999990000,3715667.694149999900000
,F62b,1/28/2012 0:00:00,12:05,33.580105300000000,-117.536817600000010,1/28/2012 0:00:00,450183.186286000010000,3715729.555480000100000
,F62b,1/28/2012 0:00:00,12:15,33.579998000000003,-117.536640800000000,1/28/2012 0:00:00,450199.531927999980000,3715717.573870000000000
,F62b,1/28/2012 0:00:00,12:20,33.579938499999997,-117.536390000000000,1/28/2012 0:00:00,450222.772369000010000,3715710.856410000000000
,F62b,1/28/2012 0:00:00,12:25,33.580051599999997,-117.536504100000000,1/28/2012 0:00:00,450212.248664000010000,3715723.450910000100000
,F62b,1/28/2012 0:00:00,12:30,33.579884399999997,-117.536404100000000,1/28/2012 0:00:00,450221.432808000010000,3715704.864990000100000
,F62b,1/28/2012 0:00:00,12:35,33.579876300000002,-117.536398700000010,1/28/2012 0:00:00,450221.929286000030000,3715703.964329999900000
,F62b,1/28/2012 0:00:00,12:40,33.579980300000003,-117.536543200000000,1/28/2012 0:00:00,450208.579183999970000,3715715.564509999900000
,F62b,1/28/2012 0:00:00,12:45,33.579963999999997,-117.536439400000010,1/28/2012 0:00:00,450218.202616000020000,3715713.707400000200000
,F62b,1/28/2012 0:00:00,12:52,33.580009099999998,-117.536540300000000,1/28/2012 0:00:00,450208.864846999990000,3715718.756240000000000
,F62b,1/28/2012 0:00:00,12:56,33.579954499999999,-117.536448100000000,1/28/2012 0:00:00,450217.389788999980000,3715712.658290000200000
,F62b,1/28/2012 0:00:00,13:00,33.579985299999997,-117.536530300000000,1/28/2012 0:00:00,450209.779194000000000,3715716.112670000200000
,F62b,1/28/2012 0:00:00,13:05,33.580122400000000,-117.536552700000000,1/28/2012 0:00:00,450207.779176999990000,3715731.324039999900000
,F62b,1/28/2012 0:00:00,13:10,33.580069399999999,-117.536492900000000,1/28/2012 0:00:00,450213.298261000020000,3715725.419060000200000
,F62b,1/28/2012 0:00:00,13:15,33.580055700000003,-117.536502900000000,1/28/2012 0:00:00,450212.362380000010000,3715723.904910000000000
